post_datetime,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral,platform_TikTok,platform_X,platform_YouTube Shorts,content_type_image,content_type_text,content_type_video,topic_Entertainment,topic_Lifestyle,topic_Politics,topic_Sports,topic_Technology,language_es,language_fr,language_hi,language_ur,region_India,region_Pakistan,region_UK,region_US,ai,funny,fyp,music,news,tech,trending,viral
2024-12-10,2319102,122058,15800,861,0.0598,0.464,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.0,0.5749604445759215,0.0,0.5706786361576975,0.0,0.5862988840226877,0.0,0.0
2024-10-13,2538464,110368,11289,54887,0.0695,-0.8,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.45035420788174546,0.4447322086936853,0.45669199159857443,0.0,0.44724607134320726,0.0,0.43680399090603106,0.0
2024-05-03,1051176,87598,47196,44132,0.1702,0.416,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,0.7095510385898532,0.0,0.0,0.0,0.7046540453556346,0.0,0.0,0.0
2024-08-04,5271440,329465,774,59736,0.074,0.877,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,0.7115340533700861,0.702651614169309,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,3186256,199141,5316,83105,0.0903,0.223,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.44878864417386793,0.44318618870881626,0.45510439589010315,0.0,0.4456913124322623,0.0,0.0,0.44318618870881626
2024-11-01,6513472,465248,27485,25659,0.0796,-0.907,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.6974966320534551,0.0,0.7165880603764528,0.0,0.0
2024-06-09,65481,2847,194,84655,1.3393,-0.235,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.7046395310705114,0.0,0.0,0.0,0.0,0.7095654524092403,0.0,0.0
2024-07-26,2961423,329047,31556,11395,0.1256,0.215,1,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.579087887476051,0.587188619726309,0.5655676294152951,0.0
2024-03-03,3916736,489592,14507,87314,0.151,0.884,1,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.0,0.0,0.0,0.4962149200032425,0.5027639415480248,0.5097969950164993,0.4910256572903471,0.0
2024-10-05,3116477,239729,8438,43002,0.0934,-0.968,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0.453474820633069,0.0,0.0,0.4444789346629373,0.45034514706801865,0.0,0.43983071094104914,0.4478138652588622
2024-11-12,3034812,252901,23488,48556,0.1071,-0.931,1,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.5898846207915504,0.0,0.5776838307834739,0.0,0.5641963539450957,0.0
2024-01-17,1763894,80177,35925,92068,0.118,0.325,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.5829501529468796,0.0,0.5693397206189804,0.5796735302777858
2024-01-01,7324226,281701,1026,77190,0.0491,0.093,1,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.44909056813935977,0.0,0.45541056879733627,0.0,0.0,0.45223002415207986,0.43557837144276973,0.44348434360485317
2024-05-07,3782438,171929,9697,45759,0.0601,0.55,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,0.0,0.0,0.0,0.49691944267056587,0.0,0.5105208014242552,0.49172281227673104,0.5006478350055787
2024-09-11,1574952,196869,37070,92094,0.207,0.196,0,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0.0,0.4981040695216953,0.5114991338302135,0.0,0.5009196182754576,0.0,0.4892243943668768,0.0
2024-01-29,314118,11634,29132,40398,0.2584,0.042,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.5006478350055787,0.0,0.49691944267056587,0.0,0.5105208014242552,0.49172281227673104,0.0
2024-09-15,8212785,483105,24281,23248,0.0646,-0.457,1,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0.5810975122241011,0.0,0.0,0.0,0.5770870458432217,0.0,0.0,0.5738433782896726
2024-03-15,271672,9368,21276,12186,0.1577,-0.438,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,0.5069479915569514,0.500619503564517,0.0,0.0,0.0,0.0,0.4916949858987849,0.500619503564517
2024-03-02,7635853,401887,39981,38045,0.0628,-0.669,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,0.7046395310705114,0.0,0.0,0.0,0.0,0.7095654524092403,0.0,0.0
2024-09-03,1374352,49084,40779,2569,0.0673,-0.21,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.7154089680784527,0.0,0.6987059527390069,0.0
2024-12-16,3078941,133867,48195,5259,0.0608,0.414,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0,0.7108137486232681,0.0,0.0,0.7033802774944272,0.0
2024-01-21,197204,14086,12671,38661,0.3317,-0.283,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7007189800684767,0.7134373910665139
2024-05-15,1255056,104588,22667,8393,0.1081,-0.101,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.7095510385898532,0.0,0.0,0.0,0.7046540453556346,0.0,0.0,0.0
2024-02-27,8806000,314500,23604,35223,0.0424,0.332,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,0.0,0.0,0.5696122424530041,0.5771299584619708,0.5852033016767283,0.0,0.0
2024-08-12,3345769,477967,10970,24539,0.1535,-0.056,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,0.0,0.7095802607753634,0.0,0.0,0.7046246188701949,0.0,0.0
2024-05-11,2628472,375496,8115,79310,0.1761,0.522,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5031586004853426,0.4968774173768307,0.0,0.4931771038533174,0.0,0.5066760297205862,0.0,0.0
2024-01-08,1285778,98906,6915,90983,0.1531,0.421,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.5035204529895954,0.49723475269339096,0.5106064392470742,0.0,0.0,0.0,0.48837057480413265,0.0
2024-12-10,5038587,219069,23424,50637,0.0582,-0.937,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.7090968043290471,0.0,0.0,0.7051111416580602
2024-09-03,1989200,248650,41528,54269,0.1732,0.815,0,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0.0,0.5776875251484964,0.0,0.5733854077913481,0.5809529218617933,0.0,0.0,0.0
2024-10-13,2013582,105978,6379,56045,0.0836,0.511,1,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.58218524572861,0.5749175330670991,0.0,0.0,0.0,0.0,0.0,0.5749175330670991
2024-01-29,3794977,164999,16203,75451,0.0676,-0.678,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.0,0.4452515922066624,0.4572253424247754,0.4419357432057032,0.0,0.45403212357092887,0.4373141153963296,0.0
2024-06-24,1266865,43685,43694,64045,0.1195,-0.789,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5044365740972876,0.0,0.0,0.0,0.0,0.5079629372586137,0.48925913174218244,0.49813943739828415
2024-10-24,11719656,488319,29728,69164,0.0501,0.785,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.7046395310705114,0.0,0.0,0.0,0.0,0.7095654524092403,0.0,0.0
2024-11-21,4131162,153006,18052,26106,0.0477,0.792,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.0,0.7226670133642387,0.0,0.0,0.0,0.6911963453283092,0.0
2024-05-07,1286498,44362,23781,30081,0.0763,0.295,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5797955486134646,0.0,0.0,0.5682937531355254,0.0,0.583848723519329,0.0,0.0
2024-01-01,965636,137948,27256,55017,0.2281,-0.986,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,0.0,0.49753900367341863,0.5109188721747966,0.4938337632270173,0.0,0.0,0.0,0.49753900367341863
2024-11-10,198531,22059,5535,94857,0.6168,0.385,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,0.453474820633069,0.0,0.0,0.4444789346629373,0.45034514706801865,0.0,0.43983071094104914,0.4478138652588622
2024-09-22,354770,13645,668,34767,0.1383,-0.562,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.7095510385898532,0.0,0.0,0.0,0.7046540453556346,0.0,0.0,0.0
2024-04-25,1654560,68940,46581,39354,0.0936,-0.506,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.590991093893893,0.0,0.0,0.0,0.5652546424104609,0.5755143057922381
2024-03-16,1373778,65418,44422,89475,0.1451,-0.704,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.7051111416580602,0.0,0.0,0.7090968043290471,0.0,0.0,0.0
2024-03-07,1542306,257051,27733,26737,0.202,0.005,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.44818807033513147,0.44259311213684155,0.45449537024381326,0.43929706119755774,0.0,0.4513212172593091,0.0,0.0
2024-09-22,1872125,374425,859,90085,0.2486,0.269,0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.5078932736945281,0.5015529852674204,0.0,0.4978178521556333,0.0,0.0,0.49261182647227,0.0
2024-03-06,1778890,177889,21561,50860,0.1407,-0.516,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.702178415688985,0.7120010340866839,0.0,0.0
2024-06-11,705670,70567,32975,12689,0.1647,-0.264,0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.5062293317804264,0.0,0.0,0.0,0.5027355709684932,0.0,0.4909979490930977,0.4999098151811964
2024-03-26,11580374,445399,40550,65734,0.0476,0.072,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.4518766021508265,0.44623559814568037,0.0,0.44291242111902307,0.4487579587508646,0.0,0.0,0.44623559814568037
2024-01-17,4457271,342867,22676,25185,0.0877,-0.358,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5825224636250167,0.0,0.0,0.5709665724941813,0.5785021628883406,0.0,0.0,0.0
2024-06-03,1242312,51763,15713,91907,0.1283,-0.348,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.57839046709052,0.5711701265686469,0.0,0.0,0.0,0.582433819497431,0.0,0.0
2024-04-05,2590881,112647,6551,34755,0.0594,-0.303,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,0.5024559140542513,0.0,0.0,0.4924883570870525,0.49898819562696684,0.505968431021686,0.0,0.0
2024-01-20,2302930,460586,18232,8681,0.2117,-0.205,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,0.7051111416580602,0.0,0.0,0.7090968043290471,0.0,0.0,0.0
2024-02-14,1098930,219786,35158,11112,0.2421,0.351,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,0.45151731796493966,0.44588079908586986,0.0,0.0,0.0,0.4546737386499815,0.4379321054374616,0.44588079908586986
2024-04-20,6537608,466972,39389,47255,0.0847,-0.484,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.4982208761735912,0.0,0.5052322820872812,0.0,0.49478238601984925,0.5017037872751231,0.0,0.0
2024-11-12,8963523,309087,31070,90736,0.0481,0.033,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.5015406134249801,0.4952796284666808,0.0,0.0,0.49807921197948424,0.5050467318032039,0.0,0.0
2024-04-17,7474320,373716,2054,31617,0.0545,0.931,1,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.0,0.5711168129565389,0.5864753432423383,0.0,0.5743450685146929,0.0,0.0,0.0
2024-07-03,7645752,283176,29860,61435,0.049,-0.322,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.7007189800684767,0.7134373910665139
2024-01-30,7602040,380102,42647,15152,0.0576,0.794,1,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,0.0,0.0,0.5871309941384782,0.0,0.0,0.5830305264123938,0.5615626420919122,0.0
